DÃ­a,Hora,Temperatura,Humedad
1,0,20,83
1,1,20,83
1,2,20,78
1,3,19,83
1,4,19,78
1,5,19,78
1,6,19,78
1,7,19,78
1,8,20,73
1,9,21,69
1,10,22,64
1,11,22,64
1,12,22,64
1,13,22,64
1,14,22,64
1,15,22,69
1,16,22,60
1,17,21,69
1,18,20,68
1,19,20,68
1,20,20,64
1,21,19,68
1,22,19,68
1,23,18,73
2,0,19,68
2,1,19,68
2,2,20,60
2,3,20,64
2,4,19,78
2,5,19,78
2,6,18,77
2,7,19,73
2,8,20,68
2,9,20,73
2,10,19,83
2,11,21,64
2,12,23,57
2,13,23,50
2,14,22,53
2,15,22,50
2,16,21,53
2,17,21,64
2,18,20,64
2,19,18,83
2,20,18,77
2,21,17,82
2,22,17,88
2,23,18,77
3,0,17,82
3,1,17,82
3,2,18,73
3,3,17,77
3,4,18,73
3,5,18,73
3,6,17,77
3,7,18,73
3,8,18,73
3,9,19,64
3,10,20,60
3,11,21,49
3,12,21,56
3,13,21,53
3,14,22,50
3,15,22,53
3,16,20,60
3,17,20,53
3,18,19,56
3,19,19,56
3,20,18,59
3,21,19,56
3,22,18,64
3,23,18,64
4,0,18,64
4,1,18,64
4,2,18,64
4,3,18,64
4,4,18,64
4,5,18,64
4,6,18,68
4,7,18,59
4,8,19,60
4,9,20,53
4,10,22,43
4,11,21,49
4,12,22,43
4,13,22,46
4,14,22,46
4,15,22,46
4,16,21,56
4,17,21,60
4,18,20,60
4,19,19,64
4,20,20,64
4,21,20,60
4,22,19,64
4,23,18,68
5,0,18,68
5,1,18,83
5,2,17,88
5,3,16,94
5,4,16,88
5,5,17,72
5,6,17,72
5,7,17,68
5,8,18,64
5,9,19,64
5,10,19,68
5,11,18,77
5,12,20,64
5,13,20,60
5,14,18,73
5,15,20,64
5,16,19,68
5,17,17,72
5,18,17,72
5,19,17,77
5,20,17,72
5,21,17,72
5,22,17,72
5,23,17,77
6,0,16,82
6,1,17,77
6,2,17,77
6,3,17,77
6,4,17,72
6,5,16,82
6,6,17,77
6,7,17,77
6,8,17,72
6,9,19,68
6,10,19,78
6,11,20,68
6,12,21,64
6,13,20,73
6,14,21,60
6,15,21,64
6,16,20,68
6,17,19,78
6,18,18,77
6,19,19,68
6,20,18,77
6,21,18,77
6,22,17,82
6,23,17,82
7,0,18,73
7,1,17,77
7,2,17,77
7,3,17,77
7,4,17,72
7,5,17,72
7,6,17,72
7,7,17,77
7,8,18,77
7,9,19,68
7,10,20,73
7,11,21,69
7,12,21,69
7,13,21,69
7,14,21,64
7,15,21,64
7,16,20,73
7,17,20,73
7,18,19,78
7,19,19,78
7,20,19,78
7,21,19,78
7,22,19,78
7,23,19,73
8,0,19,78
8,1,19,73
8,2,19,73
8,3,18,77
8,4,18,77
8,5,18,73
8,6,18,73
8,7,18,68
8,8,19,64
8,9,20,60
8,10,21,60
8,11,21,60
8,12,21,60
8,13,21,60
8,14,21,60
8,15,21,64
8,16,20,64
8,17,20,60
8,18,19,68
8,19,19,68
8,20,19,68
8,21,19,73
8,22,19,68
8,23,19,68
9,0,19,68
9,1,19,73
9,2,18,73
9,3,18,73
9,4,18,68
9,5,18,73
9,6,18,73
9,7,18,73
9,8,19,73
9,9,19,73
9,10,20,68
9,11,20,68
9,12,21,64
9,13,21,64
9,14,22,60
9,15,21,64
9,16,21,64
9,17,20,68
9,18,19,73
9,19,19,73
9,20,19,73
9,21,19,73
9,22,18,77
9,23,18,73
10,0,18,73
10,1,18,73
10,2,18,68
10,3,18,68
10,4,18,68
10,5,18,68
10,6,17,68
10,7,17,72
10,8,18,73
10,9,19,68
10,10,21,64
10,11,21,69
10,12,21,64
10,13,21,64
10,14,21,64
10,15,21,69
10,16,21,69
10,17,20,68
10,18,20,73
10,19,20,73
10,20,20,73
10,21,20,78
10,22,20,73
10,23,20,73
11,0,20,73
11,1,19,78
11,2,19,78
11,3,18,83
11,4,18,77
11,5,18,83
11,6,18,83
11,7,18,77
11,8,19,73
11,9,20,73
11,10,21,69
11,11,21,69
11,12,22,64
11,13,22,64
11,14,21,69
11,15,21,64
11,16,20,73
11,17,20,68
11,18,19,68
11,19,19,64
11,20,19,64
11,21,19,64
11,22,18,68
11,23,19,64
12,0,18,68
12,1,18,73
12,2,18,73
12,3,18,73
12,4,18,73
12,5,18,73
12,6,18,73
12,7,18,73
12,8,18,73
12,9,19,68
12,10,21,64
12,11,21,64
12,12,21,69
12,13,21,69
12,14,21,69
12,15,21,64
12,16,20,68
12,17,20,68
12,18,19,68
12,19,19,64
12,20,19,60
12,21,19,64
12,22,19,60
12,23,18,56
13,0,18,59
13,1,18,64
13,2,18,64
13,3,18,59
13,4,18,64
13,5,18,56
13,6,18,59
13,7,18,64
13,8,18,56
13,9,18,59
13,10,19,56
13,11,20,56
13,12,20,56
13,13,21,53
13,14,21,53
13,15,21,60
13,16,21,53
13,17,20,60
13,18,19,60
13,19,19,68
13,20,19,68
13,21,19,64
13,22,19,60
13,23,19,64
14,0,19,64
14,1,18,68
14,2,19,60
14,3,18,73
14,4,19,73
14,5,18,77
14,6,18,77
14,7,19,73
14,8,19,64
14,9,21,60
14,10,21,64
14,11,22,64
14,12,21,60
14,13,21,69
14,14,21,69
14,15,21,69
14,16,20,73
14,17,20,73
14,18,20,73
14,19,20,73
14,20,20,68
14,21,19,78
14,22,19,78
14,23,19,78
15,0,19,78
15,1,19,78
15,2,18,77
15,3,18,77
15,4,17,77
15,5,16,82
15,6,16,82
15,7,16,77
15,8,17,77
15,9,19,73
15,10,19,73
15,11,19,73
15,12,20,68
15,13,20,64
15,14,20,64
15,15,20,68
15,16,20,68
15,17,19,68
15,18,18,73
15,19,18,73
15,20,18,73
15,21,18,73
15,22,17,77
15,23,17,77
16,0,16,72
16,1,16,72
16,2,16,72
16,3,16,72
16,4,16,72
16,5,16,72
16,6,16,72
16,7,15,67
16,8,17,68
16,9,20,64
16,10,22,46
16,11,22,50
16,12,22,43
16,13,21,60
16,14,22,35
16,15,22,38
16,16,20,60
16,17,20,46
16,18,19,56
16,19,18,64
16,20,18,59
16,21,17,72
16,22,17,68
16,23,17,68
17,0,16,72
17,1,16,72
17,2,15,88
17,3,16,77
17,4,16,72
17,6,16,72
17,7,16,72
17,8,18,64
17,9,19,60
17,10,20,56
17,11,21,53
17,12,22,46
17,13,23,44
17,14,23,44
17,15,22,53
17,16,21,60
17,17,20,60
17,18,19,68
17,19,18,68
17,20,18,64
17,21,17,72
17,22,17,72
17,23,16,77
18,0,16,77
18,1,16,77
18,2,16,72
18,3,16,72
18,4,16,72
18,5,16,72
18,6,16,72
18,7,16,72
18,8,16,68
18,9,19,64
18,10,20,64
18,11,21,60
18,12,21,64
18,13,21,64
18,14,20,68
18,15,20,73
18,16,20,73
18,17,20,73
18,18,20,73
18,19,20,68
18,20,20,73
18,21,19,73
18,22,17,82
18,23,17,82
19,0,17,77
19,1,17,77
19,2,16,82
19,3,16,82
19,4,15,82
19,5,15,82
19,6,15,82
19,7,16,77
19,8,16,77
19,9,19,68
19,10,20,64
19,11,20,78
19,12,21,73
19,13,21,73
19,14,21,69
19,15,21,69
19,16,21,69
19,17,20,73
19,18,20,73
19,19,20,78
19,20,20,73
19,22,18,83
19,23,18,77
20,0,17,77
20,1,17,72
20,2,16,82
20,3,16,77
20,4,16,77
20,5,16,77
20,6,16,82
20,7,17,82
20,8,18,77
20,9,19,78
20,10,20,78
20,11,21,73
20,12,21,73
20,13,20,78
20,14,20,78
20,15,21,73
20,16,20,78
20,17,20,78
20,18,20,78
20,19,19,83
20,20,18,83
20,21,18,83
20,22,17,88
20,23,17,82
21,0,17,77
21,1,16,82
21,2,16,82
21,3,16,88
21,4,16,82
21,5,16,82
21,6,16,82
21,7,17,77
21,8,15,82
21,9,20,68
21,10,22,64
21,11,22,64
21,12,23,61
21,13,22,64
21,14,22,69
21,15,22,69
21,16,22,69
21,17,21,73
21,18,20,73
21,19,20,68
21,20,20,68
21,21,20,73
21,22,20,73
21,23,20,73
22,0,20,83
22,1,20,83
22,2,20,78
22,3,20,73
22,4,20,73
22,5,20,64
22,6,19,64
22,7,19,64
22,8,20,64
22,9,21,64
22,10,21,64
22,11,22,64
22,12,22,60
22,13,22,60
22,14,23,61
22,15,22,64
22,16,22,64
22,17,21,73
22,18,20,78
22,19,20,78
22,20,20,78
22,21,20,78
22,22,20,78
22,23,21,73
23,0,20,78
23,1,20,83
23,2,19,83
23,3,18,83
23,4,17,88
23,5,17,88
23,6,17,88
23,7,17,82
23,8,17,88
23,9,19,83
23,10,20,78
23,11,21,73
23,12,21,78
23,13,20,83
23,14,21,78
23,15,21,78
23,16,21,78
23,17,20,83
23,18,20,83
23,19,19,83
23,20,18,88
23,21,18,83
23,22,17,72
23,23,17,82
24,0,18,49
24,1,19,34
24,2,17,42
24,3,20,43
24,4,21,40
24,5,19,43
24,6,19,52
24,7,18,59
24,8,18,64
24,9,21,64
24,10,21,73
24,11,22,64
24,12,24,50
24,13,24,47
24,14,25,36
24,15,24,44
24,16,24,50
24,17,22,57
24,18,21,46
24,19,19,56
24,20,19,52
24,21,19,46
24,22,18,39
24,23,18,73
25,0,16,51
25,1,20,46
25,2,19,43
25,3,20,32
25,4,19,37
25,5,19,40
25,6,18,45
25,7,19,49
25,8,19,52
25,9,22,46
25,10,23,53
25,11,23,50
25,12,23,50
25,13,21,64
25,14,21,60
25,15,21,69
25,16,21,64
25,17,21,64
25,18,20,68
25,19,21,64
25,20,21,60
25,21,20,78
25,22,22,41
25,23,21,53
26,0,20,53
26,1,20,43
26,2,20,49
26,3,20,56
26,4,20,53
26,5,21,46
26,6,21,46
26,7,21,49
26,8,21,46
26,9,22,50
26,10,23,44
26,11,24,31
26,12,23,41
26,13,23,44
26,14,23,41
26,15,22,46
26,16,22,46
26,17,21,60
26,18,20,64
26,19,19,52
26,20,18,49
26,21,18,49
26,22,18,59
26,23,18,49
27,0,19,40
27,1,19,32
27,2,19,32
27,3,18,37
27,4,19,32
27,5,19,30
27,6,19,30
27,7,21,35
27,8,19,37
27,9,21,40
27,10,22,46
27,11,23,44
27,12,24,38
27,13,24,34
27,14,24,34
27,15,24,36
27,16,24,31
27,17,24,27
27,18,22,46
27,19,20,37
27,20,21,28
27,21,21,33
27,22,21,30
27,23,21,26
28,0,21,28
28,1,21,26
28,2,20,28
28,3,19,43
28,4,21,26
28,5,21,28
28,6,20,43
28,7,20,43
28,8,19,46
28,9,22,43
28,10,23,44
28,11,23,44
28,12,23,44
28,13,23,44
28,14,22,43
28,15,22,53
28,16,21,56
28,17,21,60
28,18,20,60
28,19,19,64
28,20,20,30
28,21,21,23
28,22,18,30
28,23,19,26
29,0,21,23
29,1,21,23
29,2,21,25
29,3,19,32
29,4,18,49
29,5,18,45
29,6,18,49
29,7,17,48
29,8,18,45
29,9,21,49
29,10,22,50
29,11,22,53
29,12,22,53
29,13,22,46
29,14,22,57
29,15,21,56
29,16,21,60
29,17,20,64
29,18,20,64
29,19,19,64
29,20,19,49
29,21,19,37
29,22,20,26
29,23,21,25
30,0,21,21
30,1,22,25
30,2,20,30
30,3,19,40
30,4,19,37
30,5,18,39
30,6,18,45
30,7,17,48
30,8,18,56
30,9,21,49
30,10,23,41
30,11,23,41
30,12,23,41
30,13,23,36
30,14,23,31
30,15,23,36
30,16,23,38
30,17,22,41
30,18,21,40
30,19,20,32
30,20,20,26
30,21,19,43
30,22,19,68
30,23,18,59
31,0,17,36
31,1,18,37
31,2,18,56
31,3,17,82
31,4,17,77
31,5,16,88
31,6,16,88
31,7,16,82
31,8,16,82
31,9,18,77
31,10,19,78
31,11,19,78
31,12,20,68
31,13,21,56
31,14,21,46
31,15,20,49
31,16,20,49
31,17,19,52
31,18,19,52
31,19,18,56
31,20,17,45
31,21,17,27
31,22,18,26
31,23,17,27
